time, price, volume
0, 3564, 11902
1, 3564, 18079
2, 3565, 15732
3, 3567, 16573
4, 3566, 15715
5, 3566, 17820
6, 3569, 20777
7, 3569, 19605
8, 3569, 13818
9, 3569, 15742
10, 3569, 22213
11, 3569, 21706
12, 3568, 15390
13, 3568, 18764
14, 3568, 20144
15, 3568, 17352
16, 3569, 14242
17, 3569, 18130
18, 3570, 15106
19, 3570, 13420
20, 3569, 18544
21, 3569, 11601
22, 3568, 13572
23, 3570, 22384
24, 3570, 13317
25, 3571, 21693
26, 3571, 15569
27, 3570, 15441
28, 3570, 18697
29, 3571, 17229
30, 3571, 14428
31, 3572, 22866
32, 3571, 16639
33, 3571, 20226
34, 3571, 25827
35, 3571, 23611
36, 3572, 14542
37, 3572, 14737
38, 3573, 12104
39, 3572, 10874
40, 3571, 25640
41, 3572, 22531
42, 3572, 16688
43, 3571, 23333
44, 3571, 14430
45, 3571, 14981
46, 3571, 16898
47, 3571, 11232
48, 3571, 16049
49, 3571, 26986
50, 3570, 15747
51, 3570, 15685
52, 3570, 19355
53, 3569, 15227
54, 3570, 12657
55, 3569, 16488
56, 3568, 11822
57, 3568, 16079
58, 3569, 12022
59, 3569, 16673
60, 3569, 18592
61, 3569, 16604
62, 3569, 18141
63, 3569, 15187
64, 3569, 14667
65, 3568, 16622
66, 3569, 15163
67, 3569, 13962
68, 3570, 10074
69, 3571, 13877
70, 3570, 15079
71, 3570, 13375
72, 3570, 18657
73, 3570, 16201
74, 3567, 15219
75, 3567, 14597
76, 3566, 12954
77, 3566, 20066
78, 3567, 14856
79, 3566, 15451
80, 3565, 14572
81, 3565, 15386
82, 3564, 15616
83, 3564, 14042
84, 3563, 16588
85, 3563, 19572
86, 3563, 15860
87, 3564, 16475
88, 3564, 12302
89, 3565, 10731
90, 3565, 14438
91, 3565, 13443
92, 3565, 13265
93, 3564, 14227
94, 3564, 13243
95, 3565, 18737
96, 3564, 16157
97, 3565, 11354
98, 3566, 15015
99, 3566, 15948
100, 3566, 15296
101, 3566, 12763
102, 3567, 15739
103, 3566, 13321
104, 3566, 17696
105, 3566, 16883
106, 3566, 13860
107, 3566, 19259
108, 3566, 14786
109, 3565, 17857
110, 3565, 15793
111, 3564, 14763
112, 3564, 14684
113, 3563, 17710
114, 3563, 16858
115, 3564, 18910
116, 3565, 14082
117, 3569, 13650
118, 3570, 16982
